,S_daily,sigmaS_daily,n_articles
2021-10-15,0.15726428,0.3300546339481743,14
2021-10-16,-0.0029571417,0.21469760240745517,7
2021-10-17,0.014499999,0.13942044579981866,9
2021-10-18,0.061990004,0.33055853212020303,30
2021-10-19,0.073676474,0.15415516861144274,17
2021-10-20,0.1092037,0.25446569393987833,27
2021-10-21,0.12515172,0.39163885291513717,29
2021-10-22,0.17410666,0.33621461425148935,15
2021-10-23,0.019985717,0.2356974219324353,7
2021-10-24,0.35986665,0.1413188012612794,3
2021-10-25,0.07952321,0.25362239059289593,56
2021-10-26,0.1173,0.3069978507653488,39
2021-10-27,0.13937777,0.2817404146610476,36
2021-10-28,0.127832,0.2846143075927022,25
2021-10-29,0.07431304,0.37032900269005936,23
2021-10-30,-0.09155833,0.3044077941468511,12
2021-10-31,-0.037683334,0.2391420027768167,6
2021-11-01,-0.015683329,0.361515423378046,30
2021-11-02,-0.019243183,0.26093613694749884,44
2021-11-03,0.047384,0.32949728831714087,25
2021-11-04,-0.032518517,0.3647322539065375,27
2021-11-05,0.015858825,0.342825728549421,17
2021-11-06,-0.016672725,0.34329485247506825,11
2021-11-07,0.042666666,0.18585467721603918,9
2021-11-08,0.0020359987,0.2556257715921977,50
2021-11-09,0.0712625,0.38686076661590124,32
2021-11-10,0.13855454,0.3226930821763061,33
2021-11-11,0.18551351,0.31503371167977817,37
2021-11-12,0.10482858,0.3266833622474414,28
2021-11-13,-0.1184,0.1621258791109249,5
2021-11-14,-0.15327273,0.3138698953398223,11
2021-11-15,0.109790705,0.22899707208574116,43
2021-11-16,-0.011385711,0.36903262369640816,28
2021-11-17,0.015637035,0.3121299493092418,27
2021-11-18,0.057730768,0.3296434534087078,26
2021-11-19,-0.079851724,0.28713395001896236,29
2021-11-20,0.052224997,0.2575194489693484,12
2021-11-21,0.16955,0.3547856447065279,8
2021-11-22,0.125532,0.3363985723203948,25
2021-11-23,0.116015784,0.35861543270090007,19
2021-11-24,0.06324091,0.2935207553265399,22
2021-11-25,0.0,0.0,2
2021-11-26,-0.039899997,0.33729811699352524,10
2021-11-27,0.21405,0.33190691396681826,8
2021-11-28,0.1206,0.2254556784212084,7
2021-11-29,0.1295579,0.26693845312287345,19
2021-11-30,0.046938095,0.28670474910423766,21
2021-12-01,0.070252635,0.1910642094646876,19
2021-12-02,0.05748572,0.1811697827574955,21
2021-12-03,0.120017394,0.33723738763042344,23
2021-12-04,-0.02616667,0.37000062654798405,12
2021-12-05,0.2774,0.30807539340411033,5
2021-12-06,-0.06906842,0.27356472121146974,38
2021-12-07,-0.042976666,0.3382741772806393,30
2021-12-08,0.089964,0.31795824447415494,25
2021-12-09,0.00060000067,0.2666929263615542,22
2021-12-10,0.16334116,0.26904079630572153,17
2021-12-11,-0.0818875,0.49234102410031344,8
2021-12-12,0.089899994,0.7578625504556792,3
2021-12-13,0.058165386,0.3184869845104653,26
2021-12-14,0.024092106,0.3455274478929013,38
2021-12-15,0.038697142,0.41541469578106555,35
2021-12-16,0.052078947,0.35536385240069973,19
2021-12-17,-0.05045294,0.23244218357744897,17
2021-12-18,-0.2553,0.36104870183875415,2
2021-12-19,0.12205714,0.40939479069032336,7
2021-12-20,0.13517646,0.22784047444276723,17
2021-12-21,0.006066668,0.34950353790281063,15
2021-12-22,0.1909,0.30891699726561894,23
2021-12-23,0.2250762,0.3609209693144951,21
2021-12-24,0.05576667,0.23994892423640268,9
2021-12-25,-0.1405,0.2433531369492659,3
2021-12-26,-0.10869999,0.634557619603684,2
2021-12-27,0.20381111,0.3270837046201269,9
2021-12-28,-0.078125,0.37943936721293536,16
2021-12-29,0.13548823,0.33988174012642125,17
2021-12-30,-0.07512222,0.3635287888183823,18
2021-12-31,-0.036533333,0.10462446699562922,12
2022-01-01,0.26962,0.3553582011713604,5
2022-01-02,0.0918,0.16552558528431607,5
2022-01-03,0.013910345,0.24193243779683477,29
2022-01-04,0.005137036,0.2299115007663743,27
2022-01-05,0.02458485,0.24128310550206747,33
2022-01-06,0.017012501,0.35476062322994484,24
2022-01-07,0.1735857,0.43372648381967677,14
2022-01-08,-0.09807143,0.27730042218750073,7
2022-01-09,0.13222,0.3973161568992114,5
2022-01-10,0.09594348,0.24938574812289835,23
2022-01-11,0.019294737,0.2616798293862423,19
2022-01-12,0.087050006,0.229161657491939,10
2022-01-13,0.038740907,0.29955535538807,22
2022-01-14,0.0401647,0.3097169599621974,17
2022-01-15,-0.17,0.24041630813223708,2
2022-01-16,-0.0859,0.4535837710685128,7
2022-01-17,0.25670713,0.30717873855031,14
2022-01-18,-0.14471176,0.41940515078571616,17
2022-01-19,0.039359998,0.363429789783065,15
2022-01-20,0.12422308,0.38280622216891724,13
2022-01-21,-0.0714125,0.4202734995410837,16
2022-01-22,0.038275,0.07654999941587448,4
2022-01-23,0.0,0.0,6
2022-01-24,-0.032944,0.34488551763142383,25
2022-01-25,0.104820825,0.35763131692024236,24
2022-01-26,0.13862415,0.3053522282076094,29
2022-01-27,0.14522433,0.3442392096393048,37
2022-01-28,0.08833529,0.370350519975164,17
2022-01-29,0.059833333,0.2966112291903197,3
2022-01-30,0.15969999,0.2438622383596018,3
2022-01-31,-0.031099997,0.32076258254196277,13
2022-02-01,-0.004336365,0.3783845884212869,22
2022-02-02,-0.0105099995,0.38829831388696595,30
2022-02-03,-0.06640625,0.3370776366236181,16
2022-02-04,-0.04499412,0.2889994636610925,17
2022-02-05,0.045963634,0.2430793985691485,11
2022-02-06,0.06004001,0.3599995194538342,10
2022-02-07,-0.065689474,0.37303191431122823,19
2022-02-08,-0.02435909,0.3779095835262099,22
2022-02-09,-0.01885833,0.3665344125930701,24
2022-02-10,-0.17100334,0.37553262890837097,30
2022-02-11,0.024294734,0.31518557862789165,19
2022-02-12,-0.089925,0.17984999716281888,4
2022-02-13,0.5402,0.05126871144731525,3
2022-02-14,0.24567369,0.3248897780681484,19
2022-02-15,0.044331815,0.4467856938262611,22
2022-02-16,-0.12796666,0.3173196413244418,12
2022-02-17,-0.03010714,0.4365153784358475,28
2022-02-18,-0.08913182,0.32757472212569505,22
2022-02-19,-0.254575,0.3449211790289268,8
2022-02-20,0.3506333,0.304045092755553,3
2022-02-21,-0.19503334,0.2048929867214765,9
2022-02-22,-0.024870835,0.2880442846996477,24
2022-02-23,0.13355714,0.3328915903158447,21
2022-02-24,-0.06266842,0.29081054105010706,19
2022-02-25,-0.18121,0.31493380032559426,10
2022-02-26,0.0,0.0,2
2022-02-27,-0.116775006,0.1762751904645194,8
2022-02-28,-0.030747369,0.27367983219863884,19
2022-03-01,-0.011675,0.13052692329855078,16
2022-03-02,0.06703214,0.3543189673256781,28
2022-03-03,-0.020393748,0.3232346707718478,32
2022-03-04,-0.078455,0.43897388651681984,20
2022-03-05,-0.26216665,0.3767784380692492,6
2022-03-06,0.08242001,0.4829943435511245,10
2022-03-07,-0.044966668,0.33334570019079524,12
2022-03-08,-0.007935717,0.26001660203781524,14
2022-03-09,0.04597693,0.4366883980973438,13
2022-03-10,-0.11570001,0.2551359792718911,15
2022-03-11,-0.056824993,0.3026618583991395,12
2022-03-12,0.101166666,0.3128479067337154,6
2022-03-13,0.32595,0.40264279920786905,4
2022-03-14,0.022947619,0.17198406555637125,21
2022-03-15,0.090836845,0.30980291709968666,19
2022-03-16,-0.07465217,0.3371860870443458,23
2022-03-17,-0.14918183,0.2227293145785398,11
2022-03-18,-0.05505,0.1557049147682818,8
2022-03-19,-0.08923334,0.2671877815172331,6
2022-03-20,-0.16488571,0.2568136174909219,7
2022-03-21,-0.0012000033,0.24887656934464,14
2022-03-22,-0.0047954526,0.31464845657681856,22
2022-03-23,0.012880001,0.25418931659897087,15
2022-03-24,0.17449333,0.24697029535048076,15
2022-03-25,-0.061600003,0.35979547011206964,7
2022-03-26,0.14744444,0.35368462669787865,9
2022-03-27,-0.0876,0.44071893308232224,12
2022-03-28,0.12813096,0.2965887122441081,42
2022-03-29,0.10832631,0.2940704446676139,19
2022-03-30,0.17348573,0.32491712865405076,7
2022-03-31,0.21993001,0.28570981510331894,10
2022-04-01,0.14634,0.3323373155629296,10
2022-04-02,-0.1547875,0.25004766366204273,8
2022-04-03,-0.0049111117,0.40196477893579896,9
2022-04-04,0.0426375,0.1870427277321635,40
2022-04-05,0.024072343,0.26231692876354734,47
2022-04-06,-0.0002703722,0.32707893360143314,27
2022-04-07,0.1058,0.2693440262852573,30
2022-04-08,0.070568964,0.31034909747199774,29
2022-04-09,-0.069358334,0.20866021919372973,12
2022-04-10,0.13768001,0.3264512580672677,15
2022-04-11,0.023339475,0.291163390189261,38
2022-04-12,-0.065748274,0.22683087086959272,29
2022-04-13,-0.029108696,0.1574422137152051,23
2022-04-14,-0.03208209,0.3117036865572078,67
2022-04-15,-0.03257647,0.369736968739487,34
2022-04-16,0.046205264,0.3489981763562995,19
2022-04-17,-0.16021667,0.3700223568877154,6
2022-04-18,0.019365715,0.3999384207224465,35
2022-04-19,-0.101940006,0.34799834125051415,25
2022-04-20,0.0007428541,0.34047951964467554,42
2022-04-21,0.03917059,0.3039942927080774,51
2022-04-22,0.17239445,0.25158951783225303,18
2022-04-23,0.17003125,0.44789930613208856,16
2022-04-24,0.038283337,0.25392550462659214,6
2022-04-25,0.006781945,0.2880076203015735,72
2022-04-26,0.00517564,0.34475989456619655,78
2022-04-27,-0.057301756,0.3773274538803736,57
2022-04-28,-0.0062937494,0.3358032349412463,48
2022-04-29,0.055542104,0.33685842534269894,38
2022-04-30,-0.08444375,0.3406598483333546,16
2022-05-01,-0.16575556,0.3320287678845407,9
2022-05-02,0.14483333,0.2772768433740496,30
2022-05-03,-0.05392222,0.2124589209583597,18
2022-05-04,0.06547273,0.19869720206334424,22
2022-05-05,-0.0115486495,0.37781881707213844,37
2022-05-06,-0.023883337,0.3299723237732305,18
2022-05-07,0.1204,0.4318254004271085,10
2022-05-08,0.1019,0.18699593361979522,4
2022-05-09,0.103604004,0.29725434798850675,25
2022-05-10,-0.14532106,0.3491933910981208,38
2022-05-11,-0.12413572,0.2962498394199408,28
2022-05-12,-0.039453574,0.2874648201116335,28
2022-05-13,-0.11476744,0.2637683727864317,43
2022-05-14,-0.0872125,0.36802294598411245,8
2022-05-15,-0.060690906,0.5349761197481901,11
2022-05-16,-0.0051100003,0.3396173579537229,40
2022-05-17,-0.111141175,0.35292837503517727,34
2022-05-18,-0.19277714,0.3519991644809286,35
2022-05-19,-0.13397619,0.3029319911231277,42
2022-05-20,-0.020405551,0.3749975977323498,36
2022-05-21,-0.08811875,0.22762431679174402,16
2022-05-22,-0.32442856,0.4306236408509161,7
2022-05-23,0.05275555,0.26965247946757226,18
2022-05-24,-0.072073914,0.3679054133635638,23
2022-05-25,0.023353567,0.3996452543817845,28
2022-05-26,-0.0029300025,0.3697006562904488,30
2022-05-27,-0.06293333,0.3006022184708378,15
2022-05-28,-0.0082625,0.5029303734470589,8
2022-05-29,0.051233333,0.2547878975168571,6
2022-05-30,-0.18295,0.25320913513068716,8
2022-05-31,-0.055372223,0.28788290509837894,18
2022-06-01,-0.14014582,0.3039154729028116,24
2022-06-02,0.020630006,0.31107439546047777,10
2022-06-03,-0.029715559,0.3556325331357506,45
2022-06-04,0.0437,0.33463107190224173,13
2022-06-05,0.07393333,0.3460162660104464,9
2022-06-06,-0.054328892,0.2966104051679603,45
2022-06-07,0.062824994,0.35754698723882705,20
2022-06-08,0.006637037,0.33859838248480956,27
2022-06-09,-0.09220938,0.37542575777373904,32
2022-06-10,-0.095975,0.270514018672878,16
2022-06-11,-0.1601375,0.21017149249559222,8
2022-06-12,0.11107143,0.4725173251623972,7
2022-06-13,-0.13143332,0.23720488108273954,21
2022-06-14,0.0032906267,0.3293736747792649,32
2022-06-15,0.048864286,0.3062717320580074,28
2022-06-16,0.053967394,0.3149414732264544,46
2022-06-17,-0.07025217,0.3999539891140646,23
2022-06-18,-0.0390375,0.25136036782671856,8
2022-06-19,-0.19074,0.2696906181809332,5
2022-06-20,-0.06785,0.3398408424804119,12
2022-06-21,-0.081012,0.3786341173852383,50
2022-06-22,-0.112870835,0.2921813022509878,24
2022-06-23,0.09035715,0.33215098250561736,21
2022-06-24,0.05459524,0.38534290143538613,21
2022-06-25,-0.049333334,0.12084149553464708,6
2022-06-26,-0.0033199997,0.3197965270034988,10
2022-06-27,0.09958261,0.2831702501827862,23
2022-06-28,0.010681481,0.22316006430114202,27
2022-06-29,0.037396003,0.3071943760217532,25
2022-06-30,0.063193336,0.3698121381434864,15
2022-07-01,-0.06370625,0.30549859768205856,16
2022-07-02,-0.08873077,0.28646653535000355,13
2022-07-03,-0.13396667,0.23203706938814214,3
2022-07-04,-0.013772726,0.3502034683571119,11
2022-07-05,0.056605887,0.33502159054086017,17
2022-07-06,0.039,0.16077900548978574,20
2022-07-07,-0.03462286,0.32956129449262034,35
2022-07-08,-0.04178684,0.36986171095069603,38
2022-07-09,-0.085652,0.37389720297434453,25
2022-07-10,-0.111035705,0.25121430411988044,14
2022-07-11,-0.1009875,0.25081068236093756,32
2022-07-12,-0.057023402,0.2616388708008482,47
2022-07-13,-0.08002857,0.29457673335655965,35
2022-07-14,-0.0032970596,0.34162415446559224,34
2022-07-15,0.06295555,0.33770452600561046,18
2022-07-16,-0.2125091,0.32240123322772346,11
2022-07-17,0.180825,0.19272931702389645,4
2022-07-18,-0.066555,0.4965401964286712,20
2022-07-19,-0.013810714,0.3755766228425637,28
2022-07-20,0.021815388,0.35772459096461867,26
2022-07-21,0.03534737,0.3521047865213045,38
2022-07-22,0.08127059,0.3182619124405173,17
2022-07-23,0.1619909,0.40328297982929157,11
2022-07-24,0.15972,0.1950195776110628,10
2022-07-25,-0.068987496,0.30930102446606267,24
2022-07-26,0.10610476,0.2787933101348068,21
2022-07-27,0.010799999,0.3739094897568769,13
2022-07-28,0.098545454,0.20806702994124918,11
2022-07-29,0.19862725,0.3110789657448289,11
2022-07-30,-0.052962504,0.39958670847262484,8
2022-07-31,0.1039,0.16051330453007698,4
2022-08-01,-0.021177776,0.3452087708106286,18
2022-08-02,-0.011753333,0.4525785231726386,15
2022-08-03,0.003200002,0.33599895294755067,16
